"date","open","high","low","close","volume","symbol"
"20070402",13.45,13.46,13.29,13.38,125552420,"NASDAQ:AAPL"
"20070403",13.45,13.6,13.39,13.5,146093311,"NASDAQ:AAPL"
"20070404",13.56,13.59,13.45,13.47,119275478,"NASDAQ:AAPL"
"20070405",13.45,13.53,13.36,13.53,88935952,"NASDAQ:AAPL"
"20070409",13.6,13.61,13.29,13.38,103410895,"NASDAQ:AAPL"
"20070410",13.38,13.46,13.34,13.46,88186308,"NASDAQ:AAPL"
"20070411",13.41,13.42,13.19,13.23,137433604,"NASDAQ:AAPL"
"20070412",13.15,13.19,12.96,13.17,165983783,"NASDAQ:AAPL"
"20070413",12.99,13.06,12.87,12.89,180029703,"NASDAQ:AAPL"
"20070416",12.94,13.07,12.89,13.06,152353544,"NASDAQ:AAPL"
"20070417",13.14,13.19,12.81,12.91,188090343,"NASDAQ:AAPL"
"20070418",12.88,12.98,12.8,12.91,116095938,"NASDAQ:AAPL"
"20070419",12.88,13.04,12.83,12.9,106613556,"NASDAQ:AAPL"
"20070420",12.98,13.03,12.94,13,131349260,"NASDAQ:AAPL"
"20070423",13.08,13.4,13.06,13.36,195322771,"NASDAQ:AAPL"
"20070424",13.42,13.77,13.04,13.32,264109146,"NASDAQ:AAPL"
"20070425",13.46,13.63,13.4,13.62,306212928,"NASDAQ:AAPL"
"20070426",14.51,14.64,14.04,14.12,435074297,"NASDAQ:AAPL"
"20070427",14.03,14.28,13.96,14.27,174995506,"NASDAQ:AAPL"
"20070430",14.3,14.43,14.24,14.26,154361802,"NASDAQ:AAPL"
"20070501",14.23,14.34,14.08,14.21,133166425,"NASDAQ:AAPL"
"20070502",14.24,14.36,14.21,14.34,126880271,"NASDAQ:AAPL"
"20070503",14.39,14.49,14.29,14.34,144197942,"NASDAQ:AAPL"
"20070504",14.4,14.51,14.36,14.4,95537288,"NASDAQ:AAPL"
"20070507",14.44,14.91,14.43,14.85,215577789,"NASDAQ:AAPL"
"20070508",14.78,15.02,14.77,15.01,196185605,"NASDAQ:AAPL"
"20070509",14.99,15.28,14.98,15.27,179639635,"NASDAQ:AAPL"
"20070510",15.23,15.55,15.13,15.33,299441667,"NASDAQ:AAPL"
"20070511",15.39,15.59,15.25,15.53,163212147,"NASDAQ:AAPL"
"20070514",15.66,15.71,15.46,15.62,163091845,"NASDAQ:AAPL"
"20070515",15.65,15.74,15.21,15.36,238813652,"NASDAQ:AAPL"
"20070516",15.5,15.55,14.77,15.33,281925385,"NASDAQ:AAPL"
"20070517",15.31,15.7,15.31,15.63,184508324,"NASDAQ:AAPL"
"20070518",15.75,15.81,15.68,15.72,155345379,"NASDAQ:AAPL"
"20070521",15.76,16.06,15.72,16,160278090,"NASDAQ:AAPL"
"20070522",16.07,16.25,16,16.22,143205594,"NASDAQ:AAPL"
"20070523",16.29,16.43,16.08,16.13,228896871,"NASDAQ:AAPL"
"20070524",16.12,16.35,15.77,15.81,222183668,"NASDAQ:AAPL"
"20070525",16,16.25,15.93,16.23,158240999,"NASDAQ:AAPL"
"20070529",16.35,16.41,16.1,16.34,161522228,"NASDAQ:AAPL"
"20070530",16.33,16.98,16.22,16.97,370739089,"NASDAQ:AAPL"
"20070531",17.15,17.45,17.08,17.31,325251101,"NASDAQ:AAPL"
"20070601",17.3,17.31,16.9,16.91,221443390,"NASDAQ:AAPL"
"20070604",16.95,17.39,16.84,17.33,221998350,"NASDAQ:AAPL"
"20070605",17.34,17.53,17.21,17.52,230465249,"NASDAQ:AAPL"
"20070606",17.47,17.72,17.42,17.66,278490289,"NASDAQ:AAPL"
"20070607",17.86,18.23,17.6,17.72,479516387,"NASDAQ:AAPL"
"20070608",17.98,17.98,17.47,17.78,310972704,"NASDAQ:AAPL"
"20070611",18,18.02,17.08,17.17,470185107,"NASDAQ:AAPL"
"20070612",17.05,17.39,16.9,17.2,356974310,"NASDAQ:AAPL"
"20070613",17.31,17.31,16.49,16.79,430734248,"NASDAQ:AAPL"
"20070614",16.74,17.06,16.63,16.96,243513837,"NASDAQ:AAPL"
"20070615",17.23,17.24,17.12,17.21,202990669,"NASDAQ:AAPL"
"20070618",17.61,17.88,17.51,17.87,227971779,"NASDAQ:AAPL"
"20070619",17.81,17.86,17.56,17.67,236173490,"NASDAQ:AAPL"
"20070620",17.7,17.81,17.36,17.36,224570395,"NASDAQ:AAPL"
"20070621",17.39,17.76,17.25,17.7,216921131,"NASDAQ:AAPL"
"20070622",17.69,17.78,17.48,17.57,158915162,"NASDAQ:AAPL"
"20070625",17.74,17.87,17.29,17.48,241517962,"NASDAQ:AAPL"
"20070626",17.71,17.71,16.96,17.09,336250712,"NASDAQ:AAPL"
"20070627",17.23,17.43,17.04,17.41,243901756,"NASDAQ:AAPL"
"20070628",17.48,17.5,17.14,17.22,210600880,"NASDAQ:AAPL"
"20070629",17.42,17.71,17.3,17.43,284032539,"NASDAQ:AAPL"
"20070702",17.29,17.44,17.04,17.32,249049955,"NASDAQ:AAPL"
"20070703",17.43,18.2,17.36,18.17,290620330,"NASDAQ:AAPL"
"20070705",18.4,19,18.38,18.96,363262732,"NASDAQ:AAPL"
"20070706",19.02,19.05,18.63,18.9,218623258,"NASDAQ:AAPL"
"20070709",18.91,18.99,18.45,18.62,248955014,"NASDAQ:AAPL"
"20070710",18.41,19.21,18.4,18.91,313752481,"NASDAQ:AAPL"
"20070711",18.87,19.1,18.76,18.91,205442888,"NASDAQ:AAPL"
"20070712",19.12,19.18,18.91,19.15,176151549,"NASDAQ:AAPL"
"20070713",19.29,19.69,19.22,19.68,226881067,"NASDAQ:AAPL"
"20070716",19.77,20,19.64,19.73,234028137,"NASDAQ:AAPL"
"20070717",19.76,19.94,19.64,19.84,177489284,"NASDAQ:AAPL"
"20070718",19.74,19.78,19.43,19.73,189349370,"NASDAQ:AAPL"
"20070719",20.04,20.12,19.95,20,183222312,"NASDAQ:AAPL"
"20070720",20.24,20.6,20,20.54,291742283,"NASDAQ:AAPL"
"20070723",20.47,20.75,20.13,20.53,259122122,"NASDAQ:AAPL"
"20070724",19.84,20.14,19.16,19.27,451276735,"NASDAQ:AAPL"
"20070725",19.62,19.77,19.29,19.61,407778336,"NASDAQ:AAPL"
"20070726",20.84,21.21,19.57,20.86,547388051,"NASDAQ:AAPL"
"20070727",20.88,21.27,20.54,20.55,290061282,"NASDAQ:AAPL"
"20070730",20.62,20.78,19.94,20.2,277134788,"NASDAQ:AAPL"
"20070731",20.42,20.5,18.79,18.82,442770699,"NASDAQ:AAPL"
"20070801",19.09,19.34,18.25,19.29,437849524,"NASDAQ:AAPL"
"20070802",19.52,19.57,19.16,19.5,213448893,"NASDAQ:AAPL"
"20070803",19.32,19.42,18.79,18.84,169668303,"NASDAQ:AAPL"
"20070806",18.99,19.32,18.33,19.32,231477869,"NASDAQ:AAPL"
"20070807",19.28,19.61,18.95,19.29,237868946,"NASDAQ:AAPL"
"20070808",19.54,19.55,18.86,19.14,202070134,"NASDAQ:AAPL"
"20070809",18.73,19,17.87,18.06,281702575,"NASDAQ:AAPL"
"20070810",17.59,18.25,17.19,17.86,352683254,"NASDAQ:AAPL"
"20070813",18.33,18.48,18.07,18.26,188527906,"NASDAQ:AAPL"
"20070814",18.33,18.33,17.67,17.72,184790893,"NASDAQ:AAPL"
"20070815",17.53,17.84,17.09,17.13,248212657,"NASDAQ:AAPL"
"20070816",16.72,16.93,15.95,16.72,466674796,"NASDAQ:AAPL"
"20070817",17.43,17.64,17.12,17.44,298724104,"NASDAQ:AAPL"
"20070820",17.71,17.79,17.21,17.46,200880778,"NASDAQ:AAPL"
"20070821",17.46,18.42,17.29,18.22,325761765,"NASDAQ:AAPL"
"20070822",18.75,18.96,18.62,18.93,265441603,"NASDAQ:AAPL"
"20070823",19.01,19.05,18.54,18.72,216709066,"NASDAQ:AAPL"
"20070824",18.65,19.34,18.54,19.33,227902983,"NASDAQ:AAPL"
"20070827",19.06,19.24,18.87,18.89,176860712,"NASDAQ:AAPL"
"20070828",18.71,18.92,18.09,18.12,294842555,"NASDAQ:AAPL"
"20070829",18.55,19.17,18.51,19.15,291720989,"NASDAQ:AAPL"
